scode,selected_year,claim_year,chunk_id,anchor
000049,2019,2021,v21_c00000042,与全球领先的消费类电子厂商建立了长期稳定的合作关系
000049,2019,2021,v21_c00000044,服务于全球高端消费类电子厂商
000049,2019,2022,v21_c00000059,与全球领先的消费类电子和电动工具厂商建立了长期稳定的合作关系
000333,2018,2019,v21_c00000184,瑞士公司AdvancedOsteotomyToolsAG
000333,2018,2019,v21_c00000184,美国公司SensusHealthcare
000651,2018,2019,v21_c00001314,授权丹麦格兰富公司3项电机专利技术
000921,2018,2022,v21_c00001792,与全球重点客户多层面的沟通
000921,2018,2022,v21_c00001793,"赢得全球客户多个重点项目订单,并获取了多项欧美车企的新商权"
000921,2018,2022,v21_c00001793,获得国际车企的定点开发
000921,2019,2022,v21_c00001792,与全球重点客户多层面的沟通
000921,2019,2022,v21_c00001793,"赢得全球客户多个重点项目订单,并获取了多项欧美车企的新商权"
000921,2019,2022,v21_c00001793,获得国际车企的定点开发
000921,2020,2022,v21_c00001792,与全球重点客户多层面的沟通
000921,2020,2022,v21_c00001793,"赢得全球客户多个重点项目订单,并获取了多项欧美车企的新商权"
000921,2020,2022,v21_c00001793,获得国际车企的定点开发
000921,2021,2022,v21_c00001792,与全球重点客户多层面的沟通
000921,2021,2022,v21_c00001793,"赢得全球客户多个重点项目订单,并获取了多项欧美车企的新商权"
000921,2021,2022,v21_c00001793,获得国际车企的定点开发
002005,2018,2019,v21_c00002234,维护好现有的海外市场和客户
002005,2018,2021,v21_c00002281,国际知名家电制造商、品牌商以及区域性领袖企业
002005,2019,2021,v21_c00002281,国际知名家电制造商、品牌商以及区域性领袖企业
002005,2020,2021,v21_c00002281,国际知名家电制造商、品牌商以及区域性领袖企业
002032,2018,2022,v21_c00002605,与外贸客户一起推动新品研发、提升效率、降低成本
002032,2018,2022,v21_c00002606,于外贸主要客户SEB集团的出口业务已实施人民币结算
002032,2018,2023,v21_c00002618,与外贸主要客户SEB集团的出口业务已实施人民币结算
002032,2019,2022,v21_c00002605,与外贸客户一起推动新品研发、提升效率、降低成本
002032,2019,2022,v21_c00002606,于外贸主要客户SEB集团的出口业务已实施人民币结算
002032,2019,2023,v21_c00002618,与外贸主要客户SEB集团的出口业务已实施人民币结算
002032,2020,2022,v21_c00002605,与外贸客户一起推动新品研发、提升效率、降低成本
002032,2020,2022,v21_c00002606,于外贸主要客户SEB集团的出口业务已实施人民币结算
002032,2020,2023,v21_c00002618,与外贸主要客户SEB集团的出口业务已实施人民币结算
002032,2021,2022,v21_c00002605,与外贸客户一起推动新品研发、提升效率、降低成本
002032,2021,2022,v21_c00002606,于外贸主要客户SEB集团的出口业务已实施人民币结算
002032,2021,2023,v21_c00002618,与外贸主要客户SEB集团的出口业务已实施人民币结算
002032,2022,2023,v21_c00002618,与外贸主要客户SEB集团的出口业务已实施人民币结算
002056,2018,2021,v21_c00002801,"全球500强企业或行业领先企业的信赖,如华为、特斯拉、博世、博泽、三星、法雷奥、松下、电产、格力、美的等均为公司的客户"
002056,2018,2022,v21_c00002803,为全球客户提供户用分布式、工商业分布式和集中式电站用的高效光伏产品以及系统解决方案
002056,2018,2022,v21_c00002827,作为众多全球500强企业和行业领先企业的战略合作伙伴
002056,2020,2021,v21_c00002801,"全球500强企业或行业领先企业的信赖,如华为、特斯拉、博世、博泽、三星、法雷奥、松下、电产、格力、美的等均为公司的客户"
002056,2020,2022,v21_c00002803,为全球客户提供户用分布式、工商业分布式和集中式电站用的高效光伏产品以及系统解决方案
002056,2020,2022,v21_c00002827,作为众多全球500强企业和行业领先企业的战略合作伙伴
002056,2021,2022,v21_c00002803,为全球客户提供户用分布式、工商业分布式和集中式电站用的高效光伏产品以及系统解决方案
002056,2021,2022,v21_c00002827,作为众多全球500强企业和行业领先企业的战略合作伙伴
002074,2018,2019,v21_c00002875,与BOSCH、TATA、荷兰Ebusco等国际客户达成合作意向
002074,2018,2019,v21_c00002875,与国际多家品牌车企展开产品开发和技术交流
002074,2018,2020,v21_c00002881,稳定荷兰EBUSCO、印度TATA、美国EP等固有市场份额
002074,2019,2020,v21_c00002881,稳定荷兰EBUSCO、印度TATA、美国EP等固有市场份额
002076,2018,2019,v21_c00002980,开拓海外客户
002129,2018,2019,v21_c00003235,全球前十大功率半导体客户
002129,2018,2021,v21_c00003264,国际多家头部客户的突破
002129,2019,2021,v21_c00003264,国际多家头部客户的突破
002129,2020,2021,v21_c00003264,国际多家头部客户的突破
002137,2018,2019,v21_c00003326,切入EGLO、怡化股份等优质客户
002137,2018,2019,v21_c00003327,欧洲客户EGLO、SSG
002139,2018,2019,v21_c00003408,拓展全球性综合类大客户
002139,2018,2020,v21_c00003429,拓展全球性综合类大客户和快速成长的科技创新类客户
002139,2019,2020,v21_c00003429,拓展全球性综合类大客户和快速成长的科技创新类客户
002150,2018,2020,v21_c00003616,"给海外客户吃下了“定心丸”,出口订单从下半年开始回升"
002150,2018,2020,v21_c00003616,"加强与客户的沟通,力争保持有序出货"
002150,2019,2020,v21_c00003616,"给海外客户吃下了“定心丸”,出口订单从下半年开始回升"
002150,2019,2020,v21_c00003616,"加强与客户的沟通,力争保持有序出货"
002168,2018,2020,v21_c00003735,出口海内外多家知名企业
002168,2019,2020,v21_c00003735,出口海内外多家知名企业
002184,2019,2020,v21_c00004025,对海外用户的直接销售
002196,2018,2019,v21_c00004172,与国外Tier1供应商的合作
002196,2018,2019,v21_c00004173,TTI等电动工具巨头
002218,2019,2021,v21_c00004346,玻璃大客户
002218,2019,2021,v21_c00004346,已有的玻璃大客户资源
002218,2019,2021,v21_c00004354,海外客户
002218,2020,2021,v21_c00004346,玻璃大客户
002218,2020,2021,v21_c00004346,已有的玻璃大客户资源
002218,2020,2021,v21_c00004354,海外客户
002245,2020,2021,v21_c00004631,进入全球TOP4电动工具公司供应链
002276,2018,2019,v21_c00005061,与普睿司曼、耐克森、通用电气等全球电缆集团达成长期稳定合作
002290,2018,2021,v21_c00005195,核心客户包括LG、三星、博西华、松下、美的等
002290,2018,2023,v21_c00005214,与国内外知名家电品牌生产商建立了长期稳定的供应关系
002290,2021,2023,v21_c00005214,与国内外知名家电品牌生产商建立了长期稳定的供应关系
002309,2018,2019,v21_c00005967,与华为、中兴等知名通信设备制造商在国内、国际市场开展深度合作
002309,2018,2021,v21_c00005997,开拓并维护长期稳定的优质客户
002309,2019,2021,v21_c00005997,开拓并维护长期稳定的优质客户
002309,2020,2021,v21_c00005997,开拓并维护长期稳定的优质客户
002334,2021,2023,v21_c00006126,与德国美兹等优质客户达成项目合作
002334,2022,2023,v21_c00006126,与德国美兹等优质客户达成项目合作
002451,2018,2019,v21_c00006862,与海外不良资产投资机构的合作
002459,2019,2021,v21_c00007123,产品品质得到了中国电力建设集团有限公司、国家电力投资集团有限公司、中国华电集团有限公司、BayWaGroup、RenewPowerPrivateLimited、IberdrolaRenovablesSAU等国内外大型、战略客户的广泛认可
002459,2019,2021,v21_c00007123,与全球优质的能源电力公司及光伏电站系统集成商等核心客户建立了稳定的长期合作关系
002459,2020,2021,v21_c00007123,产品品质得到了中国电力建设集团有限公司、国家电力投资集团有限公司、中国华电集团有限公司、BayWaGroup、RenewPowerPrivateLimited、IberdrolaRenovablesSAU等国内外大型、战略客户的广泛认可
002459,2020,2021,v21_c00007123,与全球优质的能源电力公司及光伏电站系统集成商等核心客户建立了稳定的长期合作关系
002498,2018,2019,v21_c00007422,在中国石油技术开发公司、上海电气集团、中南勘测设计院、山东电建三公司中东北非分公司、华东勘测设计院和澳大利亚新南威尔士州电力公司、东北电力设计院、国核电力规划设计研究院、中南勘测设计院、东方电气集团、中国电力技术装备有限公司、新加坡电力公司在线监测产品技术交流会
002498,2018,2020,v21_c00007447,"给壳牌新加坡、文莱相关项目,澳大利亚相关项目供货"
002498,2019,2020,v21_c00007447,"给壳牌新加坡、文莱相关项目,澳大利亚相关项目供货"
002506,2018,2020,v21_c00007556,被PVEL评为全球组件表现最好的制造商
002506,2019,2020,v21_c00007556,被PVEL评为全球组件表现最好的制造商
002513,2018,2020,v21_c00007752,维护好现有客户资源
002513,2018,2020,v21_c00007760,先正达公司采购公司原药
002513,2018,2020,v21_c00007761,FMC公司
002513,2019,2020,v21_c00007752,维护好现有客户资源
002513,2019,2020,v21_c00007760,先正达公司采购公司原药
002513,2019,2020,v21_c00007761,FMC公司
002518,2018,2020,v21_c00007955,在疫情严重区域部分大客户的销售额却同比上涨
002518,2018,2022,v21_c00007987,与海外电力安装商、户用光伏和储能运营商等客户深入合作
002518,2019,2020,v21_c00007955,在疫情严重区域部分大客户的销售额却同比上涨
002518,2019,2022,v21_c00007987,与海外电力安装商、户用光伏和储能运营商等客户深入合作
002518,2020,2022,v21_c00007987,与海外电力安装商、户用光伏和储能运营商等客户深入合作
002518,2021,2022,v21_c00007987,与海外电力安装商、户用光伏和储能运营商等客户深入合作
002531,2018,2021,v21_c00008094,"与全球风电整机龙头Vestas签署了长期战略合作协议,并与GE、SGRE等国际一流风电企业建立了长期稳定的合作关系"
002531,2018,2021,v21_c00008098,面对国际客户
002531,2018,2021,v21_c00008098,国内外客户
