scode,year,n_deploy,n_intent,n_landing,n_claims,n_hard,directions,countries,regions,top_signal,top_chunk,top_quote,overseas_demand,overseas_sub_count,overseas_rev_share,province,window_type,stage_layer,score
000922,2022,0,1,0,1,0,['market_expansion'],[],[],v21_c00001943#1,v21_c00001943,"实现市场结构调整,出口业务占比有所提升。",1.0,0.0,,黑龙江省,layout_unknown,prep,1
002090,2020,0,1,0,1,0,['market_expansion'],[],[],v21_c00003098#1,v21_c00003098,拓展海外新建机组的机会,1.0,0.0,,江苏省,layout_unknown,prep,1
002184,2020,0,1,0,1,0,['channel_supply_chain'],[],[],v21_c00004013#2,v21_c00004013,全球疫情可能给公司供应链带来的冲击影响,1.0,0.0,,上海市,layout_unknown,prep,1
002452,2022,1,0,1,1,1,['market_expansion'],[],['海外'],v21_c00007020#1,v21_c00007020,"公司尽量回避处于政治环境风险较大的国家或地区的项目,在项目执行过程中,严格按项目化运作和管理,识别各种风险,做好风险预防方案,加强对项目进度、成本、质量、安全等的管控,最大限度地规避和防范各类风险,实现海外工程项目的正常、安全、健康运营,并且实现最大经济效益。",1.0,0.0,,湖南省,layout_unknown,landing,3
002614,2018,1,2,0,3,1,"['channel_supply_chain', 'market_expansion']",['韩国'],[],v21_c00008895#1,v21_c00008895,"公司业务遍及全球,面对未来政治、经济的不确定性,公司一方面全面布局全球业务,分散单一市场波动对公司的影响",1.0,,0.0,福建省,layout_unknown,prep,6
002614,2019,0,1,0,1,0,['market_expansion'],[],[],v21_c00008907#2,v21_c00008907,"公司一方面全面布局全球业务,分散单一市场波动对公司的影响",1.0,,0.0,福建省,layout_unknown,prep,1
300080,2021,0,1,0,1,0,['market_expansion'],[],[],v21_c00012868#2,v21_c00012868,公司将综合研判个别国家贸易保护主义或政府政策对公司产品出口的影响,1.0,0.0,,河南省,layout_unknown,prep,1
300444,2019,0,2,0,2,0,"['market_expansion', 'rd_localization']",[],[],v21_c00015942#3,v21_c00015942,"15.5kV重合器处于产品研发阶段,预计在2020年完成原型样机。",1.0,0.0,,北京市,layout_unknown,prep,3
300670,2018,0,1,0,1,0,['market_expansion'],[],[],v21_c00018139#1,v21_c00018139,并积极开拓海外市场,1.0,,0.0,江苏省,layout_unknown,prep,1
301187,2022,2,1,0,3,2,"['local_organization_readiness', 'market_expansion']",['澳大利亚'],"['全球', '拉美', '欧洲']",v21_c00020503#2,v21_c00020503,"公司将通过持续引进高层次的具有国际战略思路和专长的人才,不断提升公司国际产品研发和营销水平",,7.0,0.9918442986760344,江苏省,label_incomplete,prep,8
600212,2021,0,1,0,1,0,['market_expansion'],[],[],v21_c00021959#1,v21_c00021959,加大特种车辆市场、海外市场、微电网市场的业务开发力度,1.0,0.0,,山东省,layout_unknown,prep,1
